Feature,Importance
20_day_ma,0.07394345
20_day_std,0.06184048
volume_change,0.060785875
MACD,0.05988397
MACD_signal,0.059848692
RSI_14,0.05926985
BB_upper,0.059095602
daily_return,0.05858307
volatility_10,0.058249846
BB_lower,0.0582291
High,0.057150178
Low,0.05709406
10_day_ma,0.057006586
Volume,0.05662153
Close,0.05620216
Open,0.05335904
5_day_ma,0.052836448
