Feature,Importance
BB_upper,0.07600193
BB_lower,0.070433274
MACD,0.07019862
High,0.06579832
Close,0.065569006
20_day_std,0.060064834
20_day_ma,0.058422633
volatility_10,0.057403274
RSI_14,0.0559793
Open,0.055459622
daily_return,0.055070125
Volume,0.055057343
5_day_ma,0.05232591
MACD_signal,0.051888794
Low,0.05125618
volume_change,0.049860388
10_day_ma,0.049210418
