Feature,Importance
BB_lower,0.08009348
Close,0.06704095
MACD,0.065463245
volatility_10,0.06464703
BB_upper,0.06447279
MACD_signal,0.0640238
20_day_ma,0.063378446
10_day_ma,0.059043963
volume_change,0.05900315
Low,0.055685263
High,0.05518625
20_day_std,0.05405141
RSI_14,0.05173426
Open,0.051361393
daily_return,0.04847147
Volume,0.048181534
5_day_ma,0.048161495
