Feature,Importance
volume_change,0.07312795
5_day_ma,0.06859092
BB_upper,0.068043195
Low,0.065989286
Open,0.065847635
daily_return,0.06458712
volatility_10,0.061374914
20_day_std,0.0588584
Volume,0.056748938
BB_lower,0.05664088
RSI_14,0.055280898
MACD,0.054218873
MACD_signal,0.052778985
High,0.052371453
Close,0.05185393
10_day_ma,0.051762115
20_day_ma,0.041924555
