Feature,Importance
Low,0.08169365
10_day_ma,0.075565845
BB_upper,0.06351999
5_day_ma,0.063300766
High,0.06023568
MACD_signal,0.059689652
volume_change,0.058236476
BB_lower,0.057508375
RSI_14,0.057334896
Volume,0.05620646
daily_return,0.05571398
Close,0.05570439
20_day_ma,0.05382935
Open,0.05213371
MACD,0.051662862
volatility_10,0.050246876
20_day_std,0.047417074
