Feature,Importance
20_day_std,0.08629452
Low,0.08192161
volume_change,0.07728164
BB_lower,0.07386754
BB_upper,0.06391814
MACD_signal,0.063838296
10_day_ma,0.062119357
20_day_ma,0.061443847
Volume,0.059775278
High,0.054584257
daily_return,0.05382235
Open,0.05094431
RSI_14,0.048212986
volatility_10,0.0470491
5_day_ma,0.04120058
MACD,0.039255023
Close,0.03447115
