Feature,Importance
10_day_ma,0.07749112
volume_change,0.06983869
5_day_ma,0.06683577
Close,0.063610926
MACD,0.06335242
BB_upper,0.061979223
20_day_ma,0.06057565
MACD_signal,0.05868961
Volume,0.057379693
Open,0.056892667
Low,0.05593328
High,0.055804048
RSI_14,0.055671636
volatility_10,0.055174857
daily_return,0.05214152
BB_lower,0.04811837
20_day_std,0.04051063
