Feature,Importance
5_day_ma,0.07727039
Low,0.07699267
volume_change,0.06541494
MACD_signal,0.06412991
BB_upper,0.06225852
MACD,0.060622822
Close,0.05924394
volatility_10,0.05905969
Open,0.056912377
10_day_ma,0.05542771
daily_return,0.054452557
RSI_14,0.05397982
20_day_std,0.05372629
High,0.05366445
20_day_ma,0.053035878
BB_lower,0.048423596
Volume,0.045384448
