Feature,Importance
Open,0.07511386
Volume,0.064384125
MACD,0.06284948
5_day_ma,0.0626868
10_day_ma,0.061808284
volatility_10,0.06037053
20_day_ma,0.060130753
BB_upper,0.0598331
MACD_signal,0.05872916
volume_change,0.056422442
Close,0.056260325
RSI_14,0.055701625
BB_lower,0.05517469
Low,0.054383297
daily_return,0.053265568
20_day_std,0.05241134
High,0.05047464
