Feature,Importance
High,0.076318495
daily_return,0.07345557
Volume,0.06699382
Low,0.06533882
BB_upper,0.06345565
Open,0.06192576
20_day_std,0.059984524
MACD,0.05875797
volume_change,0.058354415
10_day_ma,0.05638695
BB_lower,0.05619283
5_day_ma,0.055782527
Close,0.053551145
volatility_10,0.052121524
RSI_14,0.04805266
MACD_signal,0.046778023
20_day_ma,0.046549335
