Feature,Importance
Low,0.072078414
Open,0.071608014
10_day_ma,0.06971484
MACD,0.06535176
Volume,0.060870048
20_day_ma,0.060717765
BB_upper,0.060649425
5_day_ma,0.059185505
daily_return,0.058792785
High,0.055612225
20_day_std,0.05519657
volatility_10,0.054932714
Close,0.054371502
RSI_14,0.052752633
BB_lower,0.05127412
MACD_signal,0.049504455
volume_change,0.047387164
