Date,Close,High,Low,Open,Volume,Ticker
2024-01-02,101.79039001464844,102.3968701498147,100.20572790942889,102.24035625829059,9597500,ORCL
2024-01-03,100.22528839111328,101.12522087818876,99.52099080540444,101.04697139543796,9455600,ORCL
2024-01-04,100.35244750976562,101.10565753113973,100.16659659758959,100.52852190124334,6822300,ORCL
2024-01-05,100.4894027709961,101.45780821073025,100.05899703645068,100.29376040847862,6133800,ORCL
2024-01-08,102.3772964477539,102.48489040556578,99.90247123225384,100.69480964571902,7038700,ORCL
2024-01-09,101.36976623535156,102.20123320722932,101.03718541699482,101.5849691004026,6725200,ORCL
2024-01-10,102.04733276367188,102.19463122302652,100.86896007265642,101.23228778156557,7270500,ORCL
2024-01-11,102.88200378417969,102.95074205943546,101.67417302012694,102.46957413264509,6119000,ORCL
2024-01-12,104.67903900146484,104.77723547728515,103.07841471905228,103.2060693884276,9703800,ORCL
2024-01-16,104.64958190917969,104.73796398268566,103.5203036955851,104.492469044596,7547200,ORCL
2024-01-17,104.51210021972656,105.56281820356469,103.77561544156217,104.54155841214745,7771500,ORCL
2024-01-18,106.74119567871094,106.91795233313977,104.69868349542443,105.06201120759248,10362300,ORCL
2024-01-19,107.6937255859375,108.23381748633298,107.05543720144598,107.35003414564561,11163800,ORCL
2024-01-22,108.115966796875,108.69533873348787,107.30092182274862,108.07668670863762,7485300,ORCL
2024-01-23,109.81478881835938,110.64947004346166,107.585690761349,108.30253922031142,9185900,ORCL
2024-01-24,112.25010681152344,113.34010497208635,111.28777081781729,111.37614540233857,11702700,ORCL
2024-01-25,112.92767333984375,114.08640976596381,112.28938499214938,112.81965496599189,8877200,ORCL
2024-01-26,112.57417297363281,113.399039969578,112.21083772052563,112.57417297363281,5541800,ORCL
2024-01-29,111.70018005371094,112.52503932568317,110.97351724384353,112.1322534772639,7014400,ORCL
2024-01-30,112.10282135009766,112.33849441232174,110.60038591215131,111.31723448680198,8231900,ORCL
2024-01-31,109.68714141845703,112.21082922215676,109.65768322296002,111.75911941007598,7386700,ORCL
2024-02-01,113.4481201171875,113.69361505641517,110.52182463706376,110.87533794890449,7882200,ORCL
2024-02-02,113.70344543457031,114.39082831892564,113.08480083865052,113.73290363076961,6499400,ORCL
2024-02-05,114.29261779785156,114.6166729000692,112.70180797125543,113.44811464826591,8084500,ORCL
2024-02-06,113.22227478027344,114.84253546881537,112.90804154160884,114.63632060830842,4637500,ORCL
2024-02-07,115.15675354003906,115.4709867373156,113.22225986762713,113.71324970661612,7672900,ORCL
2024-02-08,114.577392578125,115.66739065287275,113.88018788478456,114.9800003624323,4472800,ORCL
2024-02-09,114.53812408447266,115.22550695258018,113.64452635593288,114.95055380533717,5787100,ORCL
2024-02-12,113.75253295898438,114.98982956690101,113.30082316382044,114.16497015623064,5439600,ORCL
2024-02-13,111.63145446777344,112.15190251879585,110.96370796089869,111.73947283593779,8171700,ORCL
2024-02-14,112.20100402832031,112.65271379696186,111.48415554188026,112.25992041364857,5946100,ORCL
2024-02-15,110.7476806640625,112.2501085596113,110.54146580505692,112.19119216901295,8455600,ORCL
2024-02-16,109.30416107177734,111.07172757806046,109.24524468553815,110.98334550679093,8936000,ORCL
2024-02-20,106.49569702148438,108.77388965903559,105.73957593789693,108.54803852021143,10975600,ORCL
2024-02-21,106.21092224121094,106.42695147039842,104.59065432488877,104.83614923669788,7865300,ORCL
2024-02-22,109.00958251953125,109.87372206882795,107.68391125357319,109.48092864027072,8957800,ORCL
