index,Close,High,Low,Open,Volume,Ticker
2024-01-02,363.8014831542969,368.7356138207432,359.779620180644,366.73448635273246,25258600,MSFT
2024-01-03,363.5366516113281,366.1459576250118,361.48648901542015,361.97695939537715,23083500,MSFT
2024-01-04,360.9273681640625,365.98902639400353,360.17205450864094,363.6053473830013,20901500,MSFT
2024-01-05,360.740966796875,364.96881910463645,359.5147908390338,361.93771572916546,21004600,MSFT
2024-01-08,367.5487060546875,368.04899543580075,361.9769695664422,362.26142084093584,23134000,MSFT
2024-01-09,368.62774658203125,368.8239167777909,364.1154129764403,364.91979160608497,20830000,MSFT
2024-01-10,375.4746398925781,376.84798074426163,369.14759069417653,369.1966257520512,25514200,MSFT
2024-01-11,377.2992858886719,383.2339660876797,373.1302872544769,378.64317007041507,27850800,MSFT
2024-01-12,381.0660705566406,381.27205974083927,377.31886954764786,378.14285622037966,21661200,MSFT
2024-01-16,382.83172607421875,386.5200727807335,380.2322391394401,386.1571295021332,27202300,MSFT
2024-01-17,382.0469970703125,382.67478358686355,377.47580955942465,380.58540492477397,22234100,MSFT
2024-01-18,386.3631591796875,386.4808672893111,382.68463107425833,384.2541423864291,23392100,MSFT
2024-01-19,391.0716857910156,391.0716857910156,386.00020863284516,388.2171444423586,29331100,MSFT
2024-01-22,388.9528503417969,392.9845027036078,386.0884900033909,392.39593223013395,27016900,MSFT
2024-01-23,391.2972717285156,391.7681340805433,386.4219948473302,388.2073142541726,20525900,MSFT
2024-01-24,394.88751220703125,397.89900754206303,392.8177415608544,393.88696340305137,24867000,MSFT
2024-01-25,397.1534729003906,399.25270045475327,394.858075159448,396.6139674673759,21021200,MSFT
2024-01-26,396.2314147949219,398.4287425690661,394.7600035777077,396.6630311468464,17803300,MSFT
2024-01-29,401.9110412597656,402.16609543170915,396.62375630100183,398.3207945584323,24510200,MSFT
2024-01-30,400.8025817871094,405.1775691973873,398.7033841260815,404.40264755037606,33477600,MSFT
2024-01-31,390.0024108886719,407.4043201802484,389.639467600293,399.20363992935813,47871100,MSFT
2024-02-01,396.0842590332031,400.2238302394902,394.1419855506921,394.17141257606636,30657700,MSFT
2024-02-02,403.38250732421875,404.78524558913676,395.86849663854684,396.11373185699847,28256700,MSFT
2024-02-05,397.9186096191406,403.32360273614995,396.290244380319,402.08760781050484,25352300,MSFT
2024-02-06,397.76165771484375,400.1944015675409,395.23084373526007,398.14423897907153,18382600,MSFT
2024-02-07,406.1585388183594,406.4037740259386,399.6352882839393,399.67453429921477,22340500,MSFT
2024-02-08,406.2173767089844,407.6397528307197,404.66750343056947,406.15852265638233,21225300,MSFT
2024-02-09,412.5346374511719,412.79951062359436,407.17870911735395,407.3356632361391,22032800,MSFT
2024-02-12,407.345458984375,412.72099505038886,406.84516963028506,412.54443290280494,21202900,MSFT
2024-02-13,398.57586669921875,402.2543946406928,395.70171738557195,397.2221636270064,27824900,MSFT
2024-02-14,402.42822265625,402.7721928081846,397.5930862054174,401.03272774217567,20401200,MSFT
2024-02-15,399.5487976074219,402.07448469518283,397.3179549607251,401.1015670196542,21825500,MSFT
2024-02-16,397.0919494628906,401.24901355970684,396.48264621280646,400.9246876418879,22296500,MSFT
2024-02-20,395.8438415527344,397.5145068330212,391.1462744848481,396.28606324841394,24307900,MSFT
2024-02-21,395.2442932128906,395.3524118295115,390.3698381114288,393.2689765841808,18518900,MSFT
2024-02-22,404.5509948730469,405.710638303165,401.52412337910727,403.1161813071161,27009900,MSFT
2024-02-23,403.26361083984375,408.6884066709004,401.9172415297094,408.5017108463529,16295900,MSFT
2024-02-26,400.51190185546875,405.05222425854834,400.3349831970826,404.3642838981377,16193500,MSFT
2024-02-27,400.4529113769531,401.2784217577938,396.8855068799419,400.9540958991776,14835800,MSFT
2024-02-28,400.6887512207031,402.2414904650158,398.33014591696406,401.14080998935714,13183100,MSFT
2024-02-29,406.5067138671875,407.05705416129825,398.9198455368932,401.59293981884394,31947300,MSFT
2024-03-01,408.3345642089844,408.69817863723034,403.7942424452674,404.17750116999156,17823400,MSFT
2024-03-04,407.7646179199219,410.1527047870807,405.2094495475142,406.3101300793095,17596000,MSFT
2024-03-05,395.7062072753906,407.1061687535314,393.7308905561475,406.8211614689715,26919200,MSFT
2024-03-06,395.1558837890625,398.17294829822555,391.5197089331465,396.02071283324057,22344100,MSFT
2024-03-07,402.0843200683594,402.71326755552275,395.30328784063323,399.1163813277323,18718500,MSFT
2024-03-08,399.2146301269531,403.34221201538827,397.357209279769,400.9246137706761,18002200,MSFT
2024-03-11,397.54400634765625,398.6840056449402,394.3402457274735,396.79713300835283,16120800,MSFT
2024-03-12,408.118408203125,408.4034154899357,399.7748296289143,400.5905029088669,22457000,MSFT
2024-03-13,407.9415588378906,410.96843068808397,404.354509505231,410.8898234934408,17115900,MSFT
2024-03-14,417.8869934082031,420.4421618629372,410.7816654727546,412.99286375239626,34157300,MSFT
2024-03-15,409.23876953125,415.31218703472393,405.67136478668334,412.05927102600424,45079900,MSFT
2024-03-18,410.1232604980469,413.4744581297676,406.6442999374372,407.10619591579865,20106000,MSFT
2024-03-19,414.1426696777344,414.3981955018545,408.3837114296865,410.62439098905713,19837900,MSFT
2024-03-20,417.89678955078125,418.6141812833587,413.40559339888034,414.72248109059194,17860100,MSFT
2024-03-21,421.9654541015625,423.39046066082557,419.7935742345306,422.41751294459345,21296200,MSFT
2024-03-22,421.3462829589844,422.446963535343,418.7223444405752,422.2897491598315,17648500,MSFT
2024-03-25,415.56768798828125,420.03924040543956,414.3392444656493,417.9066492539799,18060500,MSFT
2024-03-26,414.3785095214844,418.6436612820826,414.0836951106592,418.270209700842,16725600,MSFT
2024-03-27,414.162353515625,417.13029224439015,411.7841036640323,417.12045509904823,16705000,MSFT
2024-03-28,413.4646301269531,414.5947922292506,411.8922163366139,413.70048169854954,21871200,MSFT
2024-04-01,417.2481689453125,420.5109217375922,414.93868940887074,416.6388658317179,16316000,MSFT
